param,method,MAE,RMSE,Mean_Bias,Median_Bias
R0,abc,0.10269992842456742,0.21900780985946872,-0.007206036075061176,0.004345903302203968
R0,lstm,0.06185488725407038,0.0834713403643872,0.020182929115787996,0.014816908363723735
crate,abc,6.098946470037501,10.632574989370225,5.593107831430589,2.934989441035415
crate,lstm,1.0272625601245362,1.2268312768077962,-0.4884582067939674,-0.44667259714255003
ptran,abc,0.13086595361510633,0.1885351077250053,-0.10108324627399133,-0.07522996424563005
ptran,lstm,0.07265588762770402,0.09901607287355382,6.941681016210417e-4,0.024318912438517103
