"sim_id","day","true_preval","true_crate","true_recov","true_ptran","calib_preval","calib_crate","calib_recov","calib_ptran","observed_infected","predicted_infected","bias","preval_error","crate_error","recov_error","ptran_error","abs_bias"
1,0,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,139,81,-58,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,58
1,1,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,175,107,-68,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,68
1,2,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,239,159,-80,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,80
1,3,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,301,216,-85,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,85
1,4,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,399,286,-113,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,113
1,5,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,534,371,-163,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,163
1,6,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,675,491,-184,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,184
1,7,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,837,662,-175,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,175
1,8,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,1050,877,-173,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,173
1,9,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,1267,1128,-139,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,139
1,10,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,1551,1443,-108,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,108
1,11,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,1893,1801,-92,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,92
1,12,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,2223,2154,-69,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,69
1,13,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,2520,2640,120,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,120
1,14,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,2834,3014,180,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,180
1,15,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,3134,3278,144,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,144
1,16,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,3390,3556,166,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,166
1,17,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,3573,3770,197,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,197
1,18,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,3612,3908,296,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,296
1,19,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,3676,3942,266,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,266
1,20,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,3697,3865,168,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,168
1,21,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,3645,3796,151,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,151
1,22,0.0139,8.6516202846542,0.10670125590079,0.0480886140864229,0.0081036193509253,9.39006602285132,0.115029129225436,0.0496276088724569,3542,3691,149,-0.417005802091705,0.0853534614212023,0.0780485033127427,0.0320033092088744,149
