"sim_id","parameter","true_value","abc_calibrated_value","rnn_predicted_value","abc_error_pct","rnn_error_pct"
1,"prevalence",0.0139,0.00980310251789875,0.0139,-29.474082605045,0
1,"contact_rate",8.4562038583681,7.91437214341802,1.89027404785156,-6.40750535376332,-77.6463046597324
1,"recovery_rate",0.0838077858596235,0.0845792274070124,0.0838077858596235,0.920489116227308,0
1,"transmission_prob",0.061003687173114,0.0739412638362949,0.152283847332001,21.2078601519072,149.630562329545
1,"R0",6.15527077295685,6.44064740952295,2.76462721824646,4.63629703862741,-55.0852055056158
1,"rnn_true_contact_rate",8.4562038583681,7.91437214341802,1.5214830065552,-6.40750535376332,-82.0074937638882
2,"prevalence",0.03,0.0281554985265189,0.03,-6.14833824493698,0
2,"contact_rate",6.44751302432269,7.19792115890184,1.8442941904068,11.6387222755239,-71.3952622747816
2,"recovery_rate",0.200389684957015,0.206512071043805,0.200389684957015,3.05524013778606,0
2,"transmission_prob",0.0666967007840516,0.0616153240433939,0.224633529782295,-7.61863282729679,236.798562959818
2,"R0",2.14595799717321,2.16894711824866,1.76761901378632,1.07127544461441,-17.6303070183695
2,"rnn_true_contact_rate",6.44751302432269,7.19792115890184,1.57684659827923,11.6387222755239,-75.5433359757364
3,"prevalence",0.0733,0.0814547942615521,0.0733,11.1252309161693,0
3,"contact_rate",9.77511068573222,6.31891013812907,1.8592963218689,-35.3571499977778,-80.9792811391616
3,"recovery_rate",0.191606477055318,0.187283615677918,0.191606477055318,-2.25611442986465,0
3,"transmission_prob",0.0382290931967513,0.0572104570773532,0.210137963294983,49.6516194692657,449.680742395533
3,"R0",1.9503182938097,1.92102463631706,1.82239699363708,-1.50199367896119,-6.55899606636723
3,"rnn_true_contact_rate",9.77511068573222,6.31891013812907,1.66168483919698,-35.3571499977778,-83.0008590938782
4,"prevalence",0.1186,0.125745986254041,0.1186,6.02528351942715,0
4,"contact_rate",13.4398989705369,22.386584525581,1.9063572883606,66.5681012532693,-85.8156873608966
4,"recovery_rate",0.072727922603507,0.0720017921109469,0.072727922603507,-0.998420505586029,0
4,"transmission_prob",0.0232428854186418,0.0135095190715586,0.137919247150421,-41.8767557115634,493.382640176869
4,"R0",4.29521455622118,4.09268720529656,2.89697861671448,-4.71518589522551,-32.5533432894871
4,"rnn_true_contact_rate",13.4398989705369,22.386584525581,1.52764201497298,66.5681012532693,-88.63353051744
5,"prevalence",0.0146,0.0195130491285474,0.0146,33.6510214284069,0
5,"contact_rate",8.49550929153338,5.54966010007828,1.89119327068329,-34.675368955113,-77.7389064529886
5,"recovery_rate",0.0898065839700471,0.0587833803024169,0.0898065839700471,-34.544464666396,0
5,"transmission_prob",0.016155425980023,0.0164705326361087,0.156853139400482,1.95046949845444,870.900671975094
5,"R0",1.52826847937721,1.63390844666264,2.75624871253967,6.91239587225435,80.3510803064453
5,"rnn_true_contact_rate",8.49550929153338,5.54966010007828,1.57809580599486,-34.675368955113,-81.4243531277449
6,"prevalence",0.1615,0.158576325796166,0.1615,-1.81032458441763,0
6,"contact_rate",10.2192469965667,17.6276320469428,2.0708339214325,72.4944318584832,-79.7359441245697
6,"recovery_rate",0.242252613863337,0.35281931626681,0.242252613863337,45.6410771550422,0
6,"transmission_prob",0.0111877060628534,0.0151442354565447,0.217874258756638,35.3649744770127,1847.4435378674
6,"R0",0.471945089706162,0.750964588659497,1.47991263866425,59.121178509783,213.577293406242
6,"rnn_true_contact_rate",10.2192469965667,17.6276320469428,1.64550280997745,72.4944318584832,-83.89800334085
7,"prevalence",0.0282,0.0296098314819697,0.0282,4.99940241833228,0
7,"contact_rate",14.8910000314936,15.3093473837869,1.88021671772003,2.809397296411,-87.3734691172958
7,"recovery_rate",0.153891194050062,0.156822742264134,0.153891194050062,1.90494864385692,0
7,"transmission_prob",0.126291055064758,0.119789005136897,0.229540482163429,-5.14846433464923,81.7551385929338
7,"R0",12.2203230441821,11.8219520033733,2.68667030334473,-3.25990597276741,-78.0147358328321
7,"rnn_true_contact_rate",14.8910000314936,15.3093473837869,1.80122868569296,2.809397296411,-87.9039105373483
8,"prevalence",0.0396,0.0335297580532898,0.0396,-15.3288938048238,0
8,"contact_rate",11.7448410321958,24.2493048466448,1.88960993289948,106.467714464341,-83.9111493487265
8,"recovery_rate",0.137661251530498,0.139460263156384,0.137661251530498,1.30683951067187,0
8,"transmission_prob",0.0804043753920852,0.0392788584583406,0.200266525149345,-51.1483569559486,149.074163156871
8,"R0",6.85985777968773,7.11306426872467,2.7041220664978,3.69113321542457,-60.5804937457334
8,"rnn_true_contact_rate",11.7448410321958,24.2493048466448,1.85878707231637,106.467714464341,-84.1735867925251
9,"prevalence",0.029,0.0306630520252698,0.029,5.73466215610291,0
9,"contact_rate",9.20664279721677,0.807070696827749,1.82328152656555,-91.2338219847985,-80.1960218645961
9,"recovery_rate",0.242540817352765,0.123830198389136,0.242540817352765,-48.9445942581161,0
9,"transmission_prob",0.0272147617419608,0.125220341947211,0.258679419755936,360.119192423944,850.511425411795
9,"R0",1.0330491704626,0.842880336535603,1.56953239440918,-18.4084978105966,51.9320124623253
9,"rnn_true_contact_rate",9.20664279721677,0.807070696827749,1.47161173533176,-91.2338219847985,-84.0157615784047
10,"prevalence",0.1413,0.132691547367959,0.1413,-6.09232316492655,0
10,"contact_rate",9.30873071076348,11.845815447567,1.90775072574615,27.2548945246627,-79.5057910146626
10,"recovery_rate",0.0859777907081103,0.122042059139004,0.0859777907081103,41.9460283101833,0
