"sim_id","day","true_crate","true_recov","true_ptran","true_R0","calib_crate","calib_recov","calib_ptran","calib_R0","observed","predicted","bias"
1,0,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,1814,1814,0
1,1,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,1984,2065,81
1,2,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,2162,2327,165
1,3,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,2284,2504,220
1,4,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,2386,2641,255
1,5,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,2421,2693,272
1,6,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,2413,2673,260
1,7,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,2392,2608,216
1,8,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,2358,2504,146
1,9,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,2278,2393,115
1,10,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,2177,2246,69
1,11,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,2033,2089,56
1,12,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,1939,1977,38
1,13,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,1836,1824,-12
1,14,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,1719,1672,-47
1,15,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,1583,1545,-38
1,16,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,1478,1407,-71
1,17,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,1389,1277,-112
1,18,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,1272,1174,-98
1,19,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,1166,1071,-95
1,20,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,1084,960,-124
1,21,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,991,875,-116
1,22,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,917,808,-109
1,23,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,838,758,-80
1,24,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,771,695,-76
1,25,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,729,621,-108
1,26,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,667,569,-98
1,27,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,589,507,-82
1,28,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,531,467,-64
1,29,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,498,438,-60
1,30,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,446,412,-34
1,31,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,417,363,-54
1,32,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,379,339,-40
1,33,9.47441217489541,0.0943023177678697,0.0378459420758569,3.80232493602671,10.5873042724661,0.0993478201954689,0.0428996958411003,4.57173727790246,351,309,-42
