param_type,n_param_sets,mean_mean_bias,mean_abs_bias,mean_relative_bias,mean_rmse,median_rmse
abc,598,-0.04974916387959866,14.917140468227425,0.41126216638530366,23.96076683168358,16.938614633390735
lstm,598,-1.550696767001115,25.365022296544037,0.7111785518688505,39.18597039257545,27.377454224078882
