param_type,n_observations,mean_coverage_95,median_coverage_95,sd_coverage_95,mean_coverage_90,median_coverage_90
abc,55920,0.898980686695279,1,0.3013569904268631,0.8949213161659514,1
lstm,55920,0.8280221745350501,1,0.3773645446777071,0.8149499284692417,1
