"sim_id","true_n","true_preval","true_crate","true_recov","true_ptran","true_R0","abc_preval","abc_crate","abc_recov","abc_ptran","abc_R0"
577,7729,0.0192671994087286,1.70269268658012,0.23404565261025,0.459510195165266,3.34295741019305,0.0192671994087286,8.9957074120818,0.239096205839139,0.0874107735363575,3.28872530886518
578,6101,0.00732942219055258,3.22103713918477,0.187520903608063,0.242310508891947,4.1621554362122,0.00732942219055258,3.22546470125862,0.126283482727369,0.0419626661517224,1.07178781832683
579,5933,0.0182879860757384,1.58080185297877,0.138256382332649,0.317599092370869,3.63137835124508,0.0182879860757384,6.03190130551633,0.138953059427509,0.0824731443770171,3.58012892474162
580,6146,0.0157461996993516,1.50346155464649,0.100854348357301,0.18553985948368,2.76589011908509,0.0157461996993516,4.34248960721908,0.101796160642877,0.0633027955830292,2.7004135538235
581,5178,0.00861441984446719,2.46193327847868,0.126083892553579,0.14968098706362,2.9226937378291,0.00861441984446719,5.52813599616642,0.125166424911138,0.0654604667063114,2.89114562936447
582,5048,0.00906250745011494,2.60980467684567,0.160392169037135,0.254917212571842,4.14785919769201,0.00906250745011494,5.59696679346748,0.15987480155392,0.118506251364909,4.14871854264045
583,9904,0.010435655112844,2.31199065502733,0.220384580494836,0.107955502291901,1.13252983442508,0.010435655112844,2.9359890251629,0.136621941088589,0.0502254629624154,1.07933913737736
584,8136,0.00991865086788312,4.14906460046768,0.20390161094768,0.115313030634699,2.34643174791709,0.00991865086788312,7.06072629789188,0.205413613509913,0.0675543744398272,2.3220610357546
585,7242,0.0198434756724164,2.8895546104759,0.194551407318795,0.248482327924171,3.69055801841896,0.0198434756724164,4.90353637842104,0.197937153654358,0.146283315344814,3.62390559380229
586,7433,0.0142199586122297,2.26826512999833,0.18600160551304,0.201984167492243,2.46317037248518,0.0142199586122297,9.49799265074873,0.183966019709732,0.0501442033952834,2.58889808062123
587,5296,0.0104373060043436,2.8340414147824,0.15668084984133,0.147844501308643,2.67420964387711,0.0104373060043436,9.60927820174385,0.157200108168637,0.0459062245898706,2.80614109248947
588,7558,0.0148768065806944,1.37445365451276,0.103196251446148,0.133917437455811,1.78362400508486,0.0148768065806944,2.66726194097927,0.115744647292824,0.0725807611521753,1.67257757828517
589,6487,0.0138278697305359,4.37048855423927,0.224127776353387,0.229797924318902,4.48105636152904,0.0138278697305359,7.52800399298253,0.226180149834094,0.12830565116962,4.270425388946
590,5701,0.0122770069492981,2.82231437321752,0.236976427423069,0.0957259218472112,1.14006548270117,0.0122770069492981,9.93738675974552,0.239011167584166,0.0276051932687465,1.14774336639503
591,6025,0.0105383943109773,4.37541246879846,0.200779631755082,0.0825442771114847,1.79881423301995,0.0105383943109773,8.97804057900263,0.192488357501415,0.0367002534572559,1.71177295643194
592,7455,0.014262213001959,4.65335398539901,0.229241581022274,0.117969817745447,2.39465859166812,0.014262213001959,6.14717182511838,0.23267225787073,0.0884565864450778,2.33701190213848
593,9243,0.00807666218094528,1.06050447095186,0.206203542594565,0.849686470209143,4.36993607978802,0.00807666218094528,5.94741418658418,0.205682619488118,0.153679877478293,4.44372930382539
594,5731,0.00825067366659641,2.067960225977,0.14706295065349,0.0947749102384524,1.33269966312218,0.00825067366659641,6.75802523707522,0.163988133388561,0.0307357154996555,1.26663275405466
595,7996,0.00997504789428785,2.10492887254804,0.102806598445168,0.174614554275729,3.57517146195751,0.00997504789428785,3.35485914558708,0.104858391299272,0.112864136559176,3.61099646916831
596,9737,0.0118397900324781,3.39037823118269,0.235362624235218,0.182420432565148,2.62775054238737,0.0118397900324781,4.8918586034523,0.239727937439472,0.127448255567949,2.60069331991175
597,6868,0.0178465375495143,3.82443304266781,0.107552925735479,0.138591859338052,4.92813452235423,0.0178465375495143,4.47634576234561,0.108196415270881,0.119984083919005,4.96402994734248
598,7743,0.0119576705715153,2.44234896637499,0.186973352775443,0.142680036857133,1.86376526583917,0.0119576705715153,5.46031410726126,0.18820061298641,0.0630802212375738,1.83016312458853
599,7736,0.0116720499095973,4.5466318661347,0.180070438652299,0.128228492067609,3.23766495236196,0.0116720499095973,13.9433537951689,0.180430444308631,0.0455317346638145,3.51861398866461
600,5542,0.0115457501977216,4.3619197960943,0.196394569474971,0.083038850447692,1.84429134970997,0.0115457501977216,6.85508210893334,0.187710641361313,0.0529464003716034,1.93357136967625
601,5818,0.0157746056572068,1.38436594046652,0.249215177255217,0.317481041615556,1.76357614169829,0.0157746056572068,8.31149182912399,0.236020127863157,0.0525991150098244,1.85228742387929
602,8323,0.0121945762333926,4.61182252131402,0.244877711208304,0.179188358946393,3.3746840627864,0.0121945762333926,12.7378177751155,0.243994807841583,0.0687309513575195,3.58811870484896
603,7682,0.00731139755481854,1.38399121165276,0.0711027981280349,0.248076388403965,4.82872053433675,0.00731139755481854,3.3464167772495,0.0717344221022325,0.10472721781614,4.88553345052579
604,8210,0.00816918806242757,2.95617493521422,0.148898308350239,0.156126903013702,3.09968892538454,0.00816918806242757,6.96924404167105,0.148554415436826,0.0658000289944331,3.08692581545143
605,8375,0.0160739295221865,1.65573363937438,0.243117094978457,0.514756498537527,3.50571666213218,0.0160739295221865,12.8434493567506,0.232141060273821,0.0658902374625861,3.64544698364345
606,6322,0.0125240461262874,4.08566011115909,0.13382496715989,0.145838220197377,4.45242327786982,0.0125240461262874,6.24624542911082,0.132546322294738,0.0965696888759769,4.55084658170234
607,7079,0.0172988179177046,2.45207911077887,0.0959829917198513,0.0727056760972499,1.85741313537583,0.0172988179177046,5.7881340795591,0.102710486254571,0.0320903797640545,1.80841730490835
608,9338,0.0182694956187625,2.82407341431826,0.148684512081323,0.201312479067181,3.82367478727829,0.0182694956187625,6.1629855308463,0.145806182206602,0.0905304860557201,3.8265735184761
609,8084,0.0114173003027681,3.25705368351191,0.132681111316429,0.109644706246793,2.6915564002702,0.0114173003027681,3.22168733323391,0.139347214842686,0.113386663510054,2.62148316348048
610,6213,0.0081764556474518,3.99607147742063,0.177174490961479,0.0776155925022087,1.75057624671608,0.0081764556474518,6.70247297736808,0.177036634670705,0.0470292293999627,1.78049102540839
611,6033,0.00722888481267728,3.00984777137637,0.0877003808934241,0.0831093527293556,2.85228521865793,0.00722888481267728,4.98019430843578,0.0891942642099834,0.0510349867805538,2.84955712059298
612,8707,0.00717285510338843,1.47640122007579,0.0796277114092372,0.0990195957061889,1.83595194844529,0.00717285510338843,2.74394592370635,0.0833802276863051,0.0542645362021578,1.7857825175762
613,8300,0.0167139682173729,3.9484866540879,0.215339523893781,0.251097785447067,4.60415364899673,0.0167139682173729,4.99052850711462,0.214112159493286,0.171945971402489,4.0077185433952
614,5055,0.0161890855098609,2.59348431508988,0.20327840255294,0.229131939596521,2.92333117520902,0.0161890855098609,6.48824034683935,0.201026788426301,0.0882698361344394,2.84895320021656
