"sim_id","true_n","param_type","prevalence","contact_rate","transmission_rate","recovery_rate","R0"
1,6967,"true",0.0110923479367048,1.97045755945146,0.2004361655449,0.0976256732663605,4.04556449519005
1,6967,"abc",0.0110923479367048,5.7770119524602,0.0659768663093848,0.0990951103996233,3.8462961867454
1,6967,"lstm",0.0110923479367048,2.33454247055798,0.173984169960022,0.0976256732663605,4.16051864624023
2,7087,"true",0.0146728673446924,2.10721226874739,0.182801399276795,0.0841676047004294,4.5765987124294
2,7087,"abc",0.0146728673446924,4.67301614461184,0.083905252144859,0.0849918032048261,4.61327543487616
2,7087,"lstm",0.0146728673446924,2.33066303809606,0.165826752781868,0.0841676047004294,4.59186506271362
3,9296,"true",0.00967262515076436,4.75313540548086,0.094233208166763,0.0903990055252798,4.95473590120673
3,9296,"abc",0.00967262515076436,16.8538318095636,0.0276087680024885,0.092977361018587,5.00458958272843
3,9296,"lstm",0.00967262515076436,2.30812615183926,0.188525393605232,0.0903990055252798,4.81355285644531
4,7681,"true",0.015658940743655,3.46769370883703,0.0667304891759769,0.133681931109168,1.73098111003637
4,7681,"abc",0.015658940743655,5.47068789982678,0.0441244396884485,0.132588664059392,1.82060087868524
4,7681,"lstm",0.015658940743655,2.46869320687857,0.0959792956709862,0.133681931109168,1.77244174480438
5,5046,"true",0.0144369804123417,3.04015418328345,0.186252998232961,0.153850842585089,3.68043373837136
5,5046,"abc",0.0144369804123417,7.06931226909452,0.080291914475636,0.158926261667094,3.57152185018159
5,5046,"lstm",0.0144369804123417,2.39673040357066,0.231825515627861,0.153850842585089,3.61144113540649
6,8563,"true",0.0194933618705254,4.61897493340075,0.0508693345650519,0.198556740608532,1.18336038612761
6,8563,"abc",0.0194933618705254,4.21579356744169,0.0617914970346873,0.214116203421214,1.21662999604455
6,8563,"lstm",0.0194933618705254,2.41383063700891,0.0989415422081947,0.198556740608532,1.20282053947449
7,5182,"true",0.0193914158358239,2.47445283364505,0.23077179744671,0.219454897635849,2.60205597719178
7,5182,"abc",0.0193914158358239,5.54803348794956,0.0933039824251407,0.21456825068374,2.41253595256609
7,5182,"lstm",0.0193914158358239,2.76177913893124,0.217941597104073,0.219454897635849,2.74273467063904
8,7344,"true",0.0146975214921404,1.09204781614244,0.18130770208997,0.0925708493590355,2.1388664086815
8,7344,"abc",0.0146975214921404,3.69772858804111,0.0546910889758804,0.0901907939679207,2.24227766848514
8,7344,"lstm",0.0146975214921404,2.42648060726476,0.0803636685013771,0.0925708493590355,2.10650420188904
9,8361,"true",0.0189365517250262,3.28558571916074,0.188128656292172,0.167921257267939,3.6809683094034
9,8361,"abc",0.0189365517250262,8.55168753181235,0.0662442750123038,0.165632808993443,3.42021815677286
9,8361,"lstm",0.0189365517250262,2.89751394579625,0.220297500491142,0.167921257267939,3.80127620697021
10,7590,"true",0.007000943365274,1.42920621391386,0.224489854918564,0.200739170278655,1.59830438257195
10,7590,"abc",0.007000943365274,5.96203794777369,0.0547431840813679,0.203017177772126,1.60765184728072
10,7590,"lstm",0.007000943365274,2.46580111804586,0.130562171339989,0.200739170278655,1.60377442836761
11,6065,"true",0.0126758322734386,1.59796523395926,0.29114212012706,0.136743532120949,3.40224490978289
11,6065,"abc",0.0126758322734386,4.60786720514622,0.0995850029578542,0.136925626362571,3.35126799448638
11,6065,"lstm",0.0126758322734386,2.3748676944826,0.19065897166729,0.136743532120949,3.31123399734497
12,6834,"true",0.0100669179048855,4.7573002083227,0.155418965389951,0.185847411488416,3.97839641943574
12,6834,"abc",0.0100669179048855,7.4860224235156,0.0830522676962575,0.183222683461215,3.39330876806863
12,6834,"lstm",0.0100669179048855,2.87572497407173,0.242354333400726,0.185847411488416,3.75008940696716
13,7095,"true",0.0132186804972589,3.19439264666289,0.0831520226693689,0.15245158517966,1.74232501063962
13,7095,"abc",0.0132186804972589,4.04068176701433,0.0630038847494693,0.145674210288577,1.7475890060014
13,7095,"lstm",0.0132186804972589,2.42760988467433,0.115311451256275,0.15245158517966,1.83619749546051
