"sim_id","true_preval","true_crate","true_recov","true_ptran","true_R0","abc_preval","abc_crate","abc_recov","abc_ptran","abc_R0"
63,0.046,6.71882259426638,0.158058943005547,0.0575274865295887,2.44539770377176,0.043899059303927,2.1859725992757,0.159773160724822,0.172102345281939,2.47989630538562
64,0.1462,8.75210436992347,0.194513507478,0.348300244756351,15.6717141842823,0.0825170898635036,16.682653869339,0.194524367092918,0.326710276247981,23.8787741203316
65,0.0539,9.63748642476276,0.112087175114021,0.21783131088864,18.7295852486422,0.0477841656441928,15.9564936477756,0.111321002018193,0.144199739737336,20.6089780293236
66,0.125,14.2851004609838,0.116067038468273,0.0111778402185076,1.37572710190114,0.129000111978007,7.52271288698596,0.117622427693992,0.0180528548840514,1.37572710190114
67,0.0618,5.1046111760661,0.159791525948462,0.0657896237252081,2.10167871258203,0.0645632310422293,5.25217792838963,0.157151933991405,0.0554847771358212,2.08593697432966
68,0.1248,7.44988596066833,0.0718270321942237,0.0847608233947497,8.79137629570631,0.133169433221729,19.0649384903274,0.070353613075222,0.0339993539114457,8.59505821910537
69,0.1432,9.61577277164906,0.133997901912702,0.0357855945190536,2.56799651697361,0.149287402564036,6.34628447794693,0.135798722260098,0.0553113543337794,2.50192046100736
70,0.023,13.8662636093795,0.158404276649976,0.0110786888061038,0.969797171393103,0.0228851872792665,8.36384130599821,0.162604571406431,0.0161870753169634,0.986586415834488
71,0.0985,8.04415985709056,0.0907408560463958,0.0463543397902567,4.10930352202171,0.11277613905581,13.0867564100186,0.089044907070445,0.0259964756962619,4.04114578794198
72,0.1323,9.05780816217884,0.162957529045623,0.048558468289435,2.69906700838479,0.129359266376875,10.9223264958505,0.164500668111707,0.0423068908536329,2.70664195652255
73,0.0768,14.7837738017552,0.188138954497791,0.00383323875892065,0.301212127447371,0.0748861714086749,94.039248993315,0.195076783494249,0.000703368148991753,0.358726422275182
74,0.1066,12.7222469612025,0.151028399105384,0.0321005062742414,2.70406473762305,0.111452012596782,18.0882476823447,0.151784543922421,0.0250887945105165,2.70977260894896
75,0.1527,7.9826813400723,0.0759035629858022,0.00363404644237346,0.38218804998544,0.15034315062159,12.8306777427856,0.0746651236429726,0.00232159840574666,0.406466207699081
76,0.1636,13.5412271344103,0.187423620185793,0.0945251583713395,6.82937741867093,0.168624087169996,8.88578625553584,0.18788245515201,0.137651643901264,6.51823885492589
77,0.0445,6.7101841699332,0.17294592542644,0.151692223471147,5.88555500297694,0.0467433182664206,8.44228907525492,0.17244785859498,0.128630918575828,5.84041940957741
78,0.0549,12.669962765649,0.0780400440220252,0.0145847042549288,2.36785694028821,0.0641142340629912,4.66439554193119,0.0755256593086941,0.0471336855646913,2.36724347861392
79,0.1581,5.73037836933509,0.0987578962156409,0.0446516462071204,2.59088981626121,0.1663229341526,3.50765381741554,0.097095405566042,0.0711166439840849,2.59048091780676
80,0.1237,11.3616400212049,0.159454004517048,0.0639020519084997,4.55323848779917,0.117116019855036,16.1163464936375,0.159834172540638,0.0534778834314102,4.90274999498041
81,0.1866,14.7708104876801,0.192094913233024,0.111463126376434,8.57076685874265,0.240690684284612,4.24605145821103,0.187873315043882,0.322384325644239,7.17998650753884
82,0.0191,11.5153042739257,0.156668509816352,0.0698683409578876,5.13539834002102,0.0146313283122076,13.0513071640332,0.159370197342174,0.0651318947637303,5.37980115521506
83,0.1134,13.9658015477471,0.0782172624492406,0.0533958468875971,9.53390310214457,0.0849121979635049,13.8641339532293,0.0777125682450844,0.0645109842747146,11.3591944291275
84,0.0529,6.55868127243593,0.218961099565992,0.252050192880158,7.5498199590413,0.0639618958223517,5.78629004285662,0.215283258723302,0.275752786227875,6.9120900868047
