Method,Mean_Bias,RMSE,Mean_Abs_Bias,Coverage
ABC,-3.3357540983606566,183.10106404862236,78.60024590163934,94.56557377049181
LSTM,0.4404590163934426,89.59071490238992,55.246524590163936,97.54098360655738
