"sim_id","true_preval","true_crate","true_recov","true_ptran","true_R0","abc_preval","abc_crate","abc_recov","abc_ptran","abc_R0"
745,0.123,7.42563226260245,0.1,0.0392795430562545,2.91675442178805,0.123,5.58233175840769,0.0986642092091714,0.052648555478159,2.91675442178805
746,0.1326,14.0165440482087,0.1,0.00754183731474562,1.05710494926556,0.1326,6.61170081413132,0.102185764451915,0.0148055942969607,1.05710494926556
747,0.2744,14.1193655715324,0.1,0.0778996221307816,10.9989324274874,0.2744,10.7668365502961,0.0994423025449863,0.108334623575706,10.9989324274874
748,0.3968,12.3218726599589,0.1,0.00626143705759615,0.771526300920475,0.3968,13.0383984840466,0.0900055668974293,0.00289270774196042,0.771526300920475
749,0.1122,8.27572552720085,0.1,0.00913038702025985,0.755605769367877,0.1122,3.38934679860675,0.0590350936736496,0.00770226375307751,0.755605769367877
750,0.134,12.7296133176424,0.1,0.0228742423670364,2.91180260266405,0.134,2.88703161607815,0.103725419881893,0.101240188675738,2.91180260266405
751,0.383,10.2984820352867,0.1,0.0091373599202121,0.941009369882532,0.383,11.7531603407293,0.0905877253558669,0.00555308456193815,0.941009369882532
752,0.0872,8.84171991376206,0.1,0.173686620504599,15.3568845126955,0.0872,16.646467781465,0.100153676254335,0.0891423569662797,15.3568845126955
753,0.1604,10.8641819306649,0.1,0.184318327484841,20.0246784295119,0.1604,6.37757132561416,0.1,0.275651311142777,20.0246784295119
754,0.2976,10.593623444438,0.1,0.341844082260342,36.2136748417554,0.2976,7.06535691335399,0.100858842928267,0.450213479995527,36.2136748417554
755,0.3842,11.6587698669173,0.1,0.175083945906467,20.412634327153,0.3842,14.4834034294151,0.0970720505231195,0.205726464338959,20.412634327153
756,0.348,9.05479046748951,0.1,0.02833109009598,2.56532084534666,0.348,9.4724098062021,0.0975335637188762,0.0253457403698485,2.56532084534666
757,0.3704,13.7376572634093,0.1,0.0383092084671526,5.26278775954241,0.3704,7.28973189737872,0.0986327124739787,0.0688802467486305,5.26278775954241
758,0.1522,12.0867394236848,0.1,0.0145553112876735,1.75926254764727,0.1522,14.7439630734721,0.0989578655669487,0.0114680617455301,1.75926254764727
759,0.1594,12.4148390162736,0.1,0.0047974530482831,0.595596072825658,0.1594,5.41100510039586,0.0677525256213144,0.00292351955518385,0.595596072825658
