param,method,MAE,RMSE,Mean_Bias,Median_Bias
R0,abc,0.5230576023460856,6.269803890977087,0.26889435065803774,-0.0034081793335447585
R0,lstm,0.3486309810595898,0.4445484301199793,-0.17389069649895306,-0.13263373825467029
crate,abc,4.184568076559135,5.694780168918963,4.023328942172874,3.370344525782185
crate,lstm,1.3436279418952117,1.66475777671883,0.5620969683592532,0.534614882603805
ptran,abc,0.12535986780062422,0.18030065496713849,-0.11636799369842364,-0.08004025056670905
ptran,lstm,0.08950060950465519,0.13900824436320103,-0.024223432838369433,-0.022264846646379954
