param_type,n_param_sets,mean_coverage_95,median_coverage_95,sd_coverage_95,min_coverage_95,max_coverage_95,mean_coverage_90,median_coverage_90
abc,598,0.8894091415830546,0.95,0.1805168258441532,0,1,0.8847547380156076,0.9333333333333333
lstm,598,0.8289297658862876,0.9166666666666666,0.19352569198509795,0.03333333333333333,1,0.8151616499442587,0.9166666666666666
