param_type,sim_id,coverage_95,coverage_90
abc,39,0.9333333333333333,0.9333333333333333
lstm,39,0.9333333333333333,0.9333333333333333
abc,40,1,1
lstm,40,0.9833333333333333,0.9666666666666667
abc,41,0.9166666666666666,0.9166666666666666
lstm,41,0.5166666666666667,0.36666666666666664
abc,42,0.9333333333333333,0.9333333333333333
lstm,42,0.8666666666666667,0.85
abc,43,0.8,0.8
lstm,43,0.5166666666666667,0.45
abc,44,0.8833333333333333,0.8833333333333333
lstm,44,0.5,0.36666666666666664
abc,45,0.9166666666666666,0.9166666666666666
lstm,45,0.9,0.9
abc,46,0.9666666666666667,0.9666666666666667
lstm,46,0.9333333333333333,0.9333333333333333
abc,47,0.9,0.9
lstm,47,0.7333333333333333,0.65
abc,48,0.9333333333333333,0.9333333333333333
lstm,48,0.9833333333333333,0.9833333333333333
abc,49,0.65,0.65
lstm,49,0.85,0.85
abc,50,0.85,0.85
lstm,50,0.8833333333333333,0.8833333333333333
abc,51,1,1
lstm,51,1,1
abc,52,1,1
lstm,52,1,1
abc,53,0.9666666666666667,0.9666666666666667
lstm,53,0.9166666666666666,0.9166666666666666
abc,54,0.9166666666666666,0.9166666666666666
lstm,54,1,1
abc,55,0.9166666666666666,0.9166666666666666
lstm,55,0.6166666666666667,0.5
abc,56,0.9666666666666667,0.9666666666666667
lstm,56,0.9,0.9
abc,57,1,1
lstm,57,0.9833333333333333,0.9833333333333333
abc,58,0.9333333333333333,0.9333333333333333
lstm,58,0.85,0.85
abc,59,0.9,0.9
lstm,59,0.65,0.65
abc,60,1,1
lstm,60,0.8166666666666667,0.8
abc,61,0.9666666666666667,0.9666666666666667
lstm,61,0.9666666666666667,0.9666666666666667
abc,62,0.9666666666666667,0.9666666666666667
lstm,62,0.6666666666666666,0.6666666666666666
abc,63,0.9666666666666667,0.9666666666666667
lstm,63,0.9666666666666667,0.9666666666666667
abc,64,0.9833333333333333,0.9833333333333333
lstm,64,1,1
abc,65,1,1
lstm,65,1,1
abc,66,0.9666666666666667,0.9666666666666667
lstm,66,0.9666666666666667,0.9666666666666667
abc,67,0.9333333333333333,0.9333333333333333
lstm,67,0.9833333333333333,0.9833333333333333
abc,68,0.8333333333333334,0.8166666666666667
lstm,68,0.9833333333333333,0.9666666666666667
abc,69,0.9833333333333333,0.9833333333333333
lstm,69,0.9333333333333333,0.9333333333333333
abc,70,0.9666666666666667,0.9666666666666667
lstm,70,0.9666666666666667,0.9666666666666667
abc,71,0.9166666666666666,0.9166666666666666
lstm,71,0.9,0.9
abc,72,0.9333333333333333,0.9333333333333333
lstm,72,0.9,0.8833333333333333
abc,73,0.95,0.95
lstm,73,1,1
abc,74,0.9833333333333333,0.9833333333333333
lstm,74,1,1
abc,75,0.8833333333333333,0.8833333333333333
lstm,75,0.9,0.8833333333333333
abc,76,0.9166666666666666,0.9166666666666666
lstm,76,0.85,0.85
abc,77,0.95,0.95
lstm,77,0.8333333333333334,0.8166666666666667
abc,78,0.8833333333333333,0.8833333333333333
lstm,78,0.7166666666666667,0.6666666666666666
abc,79,0.9333333333333333,0.9333333333333333
lstm,79,0.95,0.95
abc,80,0.9166666666666666,0.9
lstm,80,1,1
abc,81,0.9666666666666667,0.9666666666666667
lstm,81,0.9833333333333333,0.9666666666666667
abc,82,1,1
lstm,82,1,1
abc,83,0.9666666666666667,0.9666666666666667
lstm,83,0.95,0.95
abc,84,0.9333333333333333,0.9333333333333333
lstm,84,0.95,0.95
abc,85,0.9166666666666666,0.9166666666666666
lstm,85,0.8,0.7833333333333333
abc,86,0.95,0.95
lstm,86,0.95,0.95
abc,87,0.9666666666666667,0.9666666666666667
lstm,87,0.9666666666666667,0.9666666666666667
abc,88,0.9666666666666667,0.9666666666666667
lstm,88,0.8833333333333333,0.8666666666666667
abc,89,0.8833333333333333,0.8833333333333333
lstm,89,0.45,0.3333333333333333
abc,90,0.9666666666666667,0.95
lstm,90,0.55,0.5166666666666667
abc,91,0.7666666666666667,0.7333333333333333
lstm,91,0.8666666666666667,0.85
abc,92,0.9,0.9
lstm,92,0.9,0.9
