param_type,time,n_param_sets,mean_coverage_95,median_coverage_95,sd_coverage_95,coverage_95_q25,coverage_95_q75,mean_coverage_90,median_coverage_90
abc,41,932,0.880901287553648,1,0.32407853823681204,1,1,0.8733905579399142,1
abc,42,932,0.8626609442060086,1,0.3443897463302449,1,1,0.8572961373390557,1
abc,43,932,0.8851931330472103,1,0.3189598852784022,1,1,0.8819742489270386,1
abc,44,932,0.8648068669527897,1,0.34211333044152353,1,1,0.8615879828326181,1
abc,45,932,0.8562231759656652,1,0.3510516738939091,1,1,0.8530042918454935,1
abc,46,932,0.8594420600858369,1,0.3477515778607865,1,1,0.8583690987124464,1
abc,47,932,0.8615879828326181,1,0.3455173268957514,1,1,0.8594420600858369,1
abc,48,932,0.869098712446352,1,0.3374734630430606,1,1,0.8648068669527897,1
abc,49,932,0.851931330472103,1,0.35535873707301024,1,1,0.8508583690987125,1
abc,50,932,0.8530042918454935,1,0.3542917595634381,1,1,0.8476394849785408,1
abc,51,932,0.8454935622317596,1,0.3616275908431873,1,1,0.8444206008583691,1
abc,52,932,0.8637339055793991,1,0.34325510426544126,1,1,0.8594420600858369,1
abc,53,932,0.8648068669527897,1,0.34211333044152353,1,1,0.8626609442060086,1
abc,54,932,0.8476394849785408,1,0.3595629386336031,1,1,0.8433476394849786,1
abc,55,932,0.842274678111588,1,0.3646789528464703,1,1,0.8412017167381974,1
abc,56,932,0.8572961373390557,1,0.34995839290224523,1,1,0.8551502145922747,1
abc,57,932,0.851931330472103,1,0.35535873707301024,1,1,0.8465665236051502,1
abc,58,932,0.8465665236051502,1,0.36059834044490297,1,1,0.8454935622317596,1
abc,59,932,0.8508583690987125,1,0.35641928703191167,1,1,0.8476394849785408,1
abc,60,932,0.8562231759656652,1,0.3510516738939091,1,1,0.8540772532188842,1
lstm,1,932,0.9699570815450643,1,0.17079707711265876,1,1,0.9688841201716738,1
lstm,2,932,0.9613733905579399,1,0.19280684963856068,1,1,0.9592274678111588,1
lstm,3,932,0.9356223175965666,1,0.2455562944065115,1,1,0.9334763948497854,1
lstm,4,932,0.9227467811158798,1,0.26713615897747106,1,1,0.9216738197424893,1
lstm,5,932,0.8862660944206009,1,0.31765826507616046,1,1,0.880901287553648,1
lstm,6,932,0.8562231759656652,1,0.3510516738939091,1,1,0.8476394849785408,1
lstm,7,932,0.8208154506437768,1,0.3837126848979181,1,1,0.8143776824034334,1
lstm,8,932,0.7929184549356223,1,0.405432049721703,1,1,0.7854077253218884,1
lstm,9,932,0.7725321888412017,1,0.4194221691782772,1,1,0.7650214592274678,1
lstm,10,932,0.7660944206008584,1,0.4235401206791461,1,1,0.7564377682403434,1
lstm,11,932,0.759656652360515,1,0.42752138297256026,1,1,0.75,1
lstm,12,932,0.7424892703862661,1,0.4374977979293409,0,1,0.7360515021459227,1
lstm,13,932,0.7510729613733905,1,0.43262360885335455,1,1,0.7457081545064378,1
lstm,14,932,0.76931330472103,1,0.42149847835509696,1,1,0.7618025751072961,1
lstm,15,932,0.7553648068669528,1,0.43010149923115404,1,1,0.7532188841201717,1
lstm,16,932,0.7607296137339056,1,0.426867167629288,1,1,0.7575107296137339,1
lstm,17,932,0.7618025751072961,1,0.4262092440756939,1,1,0.7564377682403434,1
lstm,18,932,0.7821888412017167,1,0.41297996815416477,1,1,0.7757510729613734,1
lstm,19,932,0.778969957081545,1,0.4151634610833277,1,1,0.7736051502145923,1
lstm,20,932,0.7886266094420601,1,0.4085018107522258,1,1,0.7843347639484979,1
lstm,21,932,0.7886266094420601,1,0.4085018107522258,1,1,0.7821888412017167,1
lstm,22,932,0.8047210300429185,1,0.39662814520946427,1,1,0.8004291845493562,1
lstm,23,932,0.8068669527896996,1,0.3949684231924985,1,1,0.8004291845493562,1
lstm,24,932,0.8143776824034334,1,0.3890103379403732,1,1,0.8090128755364807,1
lstm,25,932,0.8261802575107297,1,0.37915786854137706,1,1,0.8175965665236051,1
