param_type,sim_id,mean_bias,mean_abs_bias,mean_relative_bias,rmse
abc,1,-0.4,11.933333333333334,-0.12733673844353796,17.21143031050393
lstm,1,-3.9166666666666665,24.716666666666665,0.7174150166221239,34.18649830951785
abc,2,19.216666666666665,21.416666666666668,0.48563731605819477,26.78587936457068
lstm,2,0.35,6.016666666666667,0.04907807739587659,7.712543895066876
abc,3,1.5833333333333333,29.283333333333335,0.2684704874860886,38.09921259028853
lstm,3,-2.933333333333333,12.933333333333334,-0.04014546151028902,18.012958298587897
abc,4,0.8333333333333334,10.766666666666667,0.04176651864063101,18.510357460982036
lstm,4,-2.5833333333333335,8.283333333333333,-0.1645064695822387,13.285957499053904
abc,5,1.05,8.916666666666666,0.061440160275608856,17.637554630201244
lstm,5,-1.3166666666666667,7.75,0.023088676308348217,16.938614661968867
abc,6,8.25,10.316666666666666,0.23878348109497077,12.557202448528626
lstm,6,15.833333333333334,16.9,0.3780837336984326,20.78140194180043
abc,7,1.55,7.816666666666666,0.26492858204027353,15.200328943809078
lstm,7,2.9833333333333334,22.483333333333334,0.7836044329118529,41.26600699526589
abc,8,4.216666666666667,6.216666666666667,0.24569332369687794,8.49803898947673
lstm,8,8.883333333333333,9.683333333333334,0.5508886237707644,11.95756385445352
abc,9,-0.3,20.566666666666666,0.20318574821601412,33.05399622839373
lstm,9,-10.766666666666667,73.93333333333334,4.557173022460305,97.90863087593453
abc,10,3.966666666666667,6.766666666666667,0.16264661622781065,9.08845421400141
lstm,10,9.15,11.25,0.3088577175436663,13.906233614222556
abc,11,0.25,7.383333333333334,-0.012251882353628741,11.799011258010845
lstm,11,1.2,8.433333333333334,0.0429389524653982,16.249102539319928
abc,12,0.85,17.35,0.33754439063277947,31.423186768160015
lstm,12,-0.2833333333333333,55.88333333333333,3.113825064760193,94.00452116786724
abc,13,-0.2,5.533333333333333,0.007757218879077539,11.74734012447073
lstm,13,-3.8666666666666667,24.8,-0.2801256600117502,48.5087620951102
abc,14,1.55,7.55,-0.05357250547377386,13.459197598668355
lstm,14,2.8666666666666667,54.2,2.9765773426803452,83.02931209317988
abc,15,-1.6333333333333333,10.7,0.19719027505762726,14.033293744995625
lstm,15,-8.516666666666667,45.31666666666667,1.0836254792859983,57.6485038834487
abc,16,1,14.533333333333333,0.7786309220285751,26.643948656308435
lstm,16,4.85,50.75,1.7578457495972808,86.0082360397344
abc,17,-3.683333333333333,22.55,0.3331643063433807,27.752177091776662
lstm,17,-16.933333333333334,28.6,0.170012732536171,38.53267012116688
abc,18,0.7333333333333333,14.666666666666666,-0.034063124613397014,20.33715811021786
lstm,18,2.05,14.416666666666666,0.005031453826674007,19.60229578391266
abc,19,0.23333333333333334,6.233333333333333,0.20979771000507882,11.004544515789828
lstm,19,-1.3,44.7,2.8613112238726317,66.27618979191044
abc,20,11.95,32.016666666666666,1.3212962962962962,117.45970940426055
lstm,20,3.5,5.066666666666666,0.4164720464720465,6.276941930590086
abc,21,-0.35,6.216666666666667,-0.06622153332828211,10.51110523842918
lstm,21,-1.1,8.666666666666666,0.031102912659788266,15.95201136743159
abc,22,-0.4,11.166666666666666,0.13822660878493642,18.33121199848317
lstm,22,-3.0166666666666666,13.683333333333334,-0.26044261893671156,20.139099615755747
abc,23,-1.6833333333333333,9.983333333333333,0.1909544805144377,13.430686256976347
lstm,23,9.066666666666666,11.9,0.4468594915824149,15.024424559141469
abc,24,-45.86666666666667,45.96666666666667,-0.5592596772102544,55.389830594914564
lstm,24,-27.016666666666666,28.816666666666666,-0.28893319146099655,36.76705953250364
abc,25,-1.5833333333333333,9.25,-0.0843307486813768,16.158073317488483
lstm,25,1.0666666666666667,31.166666666666668,1.7079988280042584,47.87065907212893
abc,26,3.3833333333333333,38.05,1.9555559644300295,75.91299844778452
lstm,26,6.333333333333333,59.06666666666667,3.9972871817925113,108.52419085162533
abc,27,-5.916666666666667,12.683333333333334,-0.1160264206199577,16.083635575743855
lstm,27,0.45,10.583333333333334,-0.015899101227561628,13.54683234806819
abc,28,-0.6833333333333333,10.283333333333333,0.12089708307752091,14.226149631342043
lstm,28,-2.683333333333333,27.016666666666666,-0.06644386393458711,38.50129867939522
abc,29,0.1,10.5,0.08187703845472681,16.319722219858196
lstm,29,-4.033333333333333,34.03333333333333,-0.12868773590580343,49.99299950993139
abc,30,0.26666666666666666,6.266666666666667,0.0039231654686400054,9.382608024069498
lstm,30,-4.233333333333333,23.066666666666666,-0.199606005395935,37.10300976111417
abc,31,-2.9166666666666665,14.783333333333333,-0.0028941417912161987,19.542688317288047
lstm,31,-1.05,9.416666666666666,-0.007375869846354596,12.839392508993562
abc,32,13.1,20.266666666666666,0.7826697630686241,22.64287967551831
lstm,32,7.75,9.316666666666666,0.3088691875518122,12.21542740417488
abc,33,-5.083333333333333,14.716666666666667,0.05341454741206625,20.061156497071646
lstm,33,-31.133333333333333,42.9,0.024577627566754266,55.85546824916369
abc,34,1.6666666666666667,5.833333333333333,0.11153517634815024,8.981462390204987
lstm,34,-0.11666666666666667,5.783333333333333,0.023321309060673246,8.87599759651462
abc,35,1.2833333333333334,7.616666666666666,0.13818645458025125,16.937630688302697
lstm,35,4.616666666666666,30.75,0.8428601808896811,62.51733093044413
abc,36,-1.8666666666666667,6.366666666666666,-0.01949224091211106,11.108555261599053
lstm,36,-5.316666666666666,68.45,3.702388771691053,106.17854459980761
abc,37,0.9333333333333333,6.433333333333334,0.2033626216298036,14.310835055998654
lstm,37,3.6333333333333333,17.6,0.3149244264992132,38.18332969591137
abc,38,9.866666666666667,12.233333333333333,0.4371398673317021,15.347095273481994
lstm,38,-5.383333333333334,7.483333333333333,-0.10281529750525795,9.660055210332219
abc,39,-0.6333333333333333,4.5,-0.04983992605700423,7.389181280764467
lstm,39,-1.7,13.166666666666666,-0.20571016263105768,21.411834733779042
abc,40,5.216666666666667,9.35,0.06405062018238078,11.6940155635265
lstm,40,6.283333333333333,11.783333333333333,0.06934648728143065,14.563081175813494
abc,41,0.4,11.066666666666666,0.0026443245140921204,19.78046174048186
