param_type,n_observations,mean_bias,mean_abs_bias,mean_relative_bias,overall_rmse
abc,55920,0.01709585121602289,12.854434907010015,0.17254145132793192,28.25702464981205
lstm,55920,-2.1532546494992846,24.137947067238912,0.573209101276125,48.21828421627098
